PrimaryKey,school,sex,studytime,failures
12,GP,M,1,0
18,GP,M,1,3
19,GP,M,1,0
21,GP,M,1,0
26,GP,M,1,0
27,GP,M,1,0
34,GP,M,1,0
41,GP,M,1,0
43,GP,M,1,0
52,GP,M,1,0
73,GP,M,1,0
78,GP,M,1,3
80,GP,M,1,0
96,GP,M,1,0
100,GP,M,1,0
102,GP,M,1,0
110,GP,M,1,0
113,GP,M,1,0
117,GP,M,1,0
119,GP,M,1,0
123,GP,M,1,0
125,GP,M,1,0
128,GP,M,1,0
136,GP,M,1,0
142,GP,M,1,0
152,GP,M,1,0
155,GP,M,1,0
161,GP,M,1,0
162,GP,M,1,0
163,GP,M,1,2
164,GP,M,1,1
166,GP,M,1,0
169,GP,M,1,3
171,GP,M,1,0
173,GP,M,1,2
174,GP,M,1,1
176,GP,M,1,0
177,GP,M,1,1
179,GP,M,1,3
184,GP,M,1,1
192,GP,M,1,0
200,GP,M,1,0
207,GP,M,1,0
208,GP,M,1,0
210,GP,M,1,0
211,GP,M,1,0
256,GP,M,1,1
257,GP,M,1,0
269,GP,M,1,0
270,GP,M,1,0
276,GP,M,1,0
278,GP,M,1,0
279,GP,M,1,3
281,GP,M,1,0
282,GP,M,1,0
284,GP,M,1,2
285,GP,M,1,0
286,GP,M,1,0
287,GP,M,1,1
297,GP,M,1,0
305,GP,M,1,0
319,GP,M,1,0
323,GP,M,1,0
324,GP,M,1,0
325,GP,M,1,0
326,GP,M,1,0
340,GP,M,1,0
344,GP,M,1,0
346,GP,M,1,0
351,GP,M,1,2
368,GP,M,1,0
378,GP,M,1,0
379,GP,M,1,0
384,GP,M,1,0
387,GP,M,1,0
418,GP,M,1,0
419,GP,M,1,0
447,MS,M,1,0
457,MS,M,1,0
464,MS,M,1,0
466,MS,M,1,0
468,MS,M,1,0
473,MS,M,1,0
474,MS,M,1,0
477,MS,M,1,0
489,MS,M,1,1
500,MS,M,1,1
501,MS,M,1,0
508,MS,M,1,1
530,MS,M,1,0
534,MS,M,1,0
